"ul_id","sign_up_date","user_age","has_children","home_country","home_city","sessions","cancellations","avg_page_clicks","avg_spend","avg_nights","avg_rooms","avg_seats","avg_hotel_discount","avg_flight_discount","avg_distance_kms","money_spent_total","money_spent_flight","money_spent_hotel","total_money_spent_hotel","total_money_spent_flight","age_group","num_trips"
"23557","2021-07-22","64","false","usa","new york","8","8","10.2500000000000000","","10.0000000000000000","1.5000000000000000","","0.17500000000000000000","","","","","354","354","","55-65","2"
"94883","2022-02-07","51","false","usa","kansas city","8","8","9.1250000000000000","432.0450000000000000","1.00000000000000000000","1.5000000000000000","1.5000000000000000","0.10000000000000000000","","1451.335403701944","","","","180","864.09","45-55","2"
"101486","2022-02-17","50","true","usa","tacoma","8","8","16.3750000000000000","189.9100000000000000","4.5000000000000000","1.5000000000000000","1.00000000000000000000","","0.07500000000000000000","995.681599782712","","","144","397","189.91","45-55","2"
"101961","2022-02-17","42","false","usa","boston","8","8","15.7500000000000000","248.5320000000000000","4.4000000000000000","1.00000000000000000000","1.00000000000000000000","0.10000000000000000000","0.15000000000000000000","1366.5690966548455","","","","680","1242.66","35-45","5"
"106907","2022-02-24","44","true","usa","miami","8","8","30.0000000000000000","13902.0600000000000000","11.0000000000000000","3.0000000000000000","6.0000000000000000","","","12797.480540713883","","","","258","27804.12","35-45","1"
"118043","2022-03-10","51","true","usa","los angeles","8","8","20.5000000000000000","779.7633333333333333","6.0000000000000000","1.2500000000000000","2.0000000000000000","0.11666666666666666667","0.20000000000000000000","2505.1651664071746","1451.66","1175.66","276","909","2339.29","45-55","5"
"120851","2022-03-13","50","true","usa","santa ana","8","8","6.8750000000000000","384.6800000000000000","11.0000000000000000","1.00000000000000000000","1.00000000000000000000","","0.22500000000000000000","2259.7966681958487","","","","182","384.68","45-55","1"
"125845","2022-03-19","39","false","usa","el paso","9","9","17.6666666666666667","584.4400000000000000","2.3333333333333333","1.3333333333333333","1.3333333333333333","0.05000000000000000000","0.15000000000000000000","2861.519128720754","","","","371","1753.32","35-45","3"
"133058","2022-03-27","18","false","usa","austin","8","8","9.1250000000000000","423.5100000000000000","","","1.00000000000000000000","0.05000000000000000000","","2887.178515652686","","423.51","","","423.51","18-25","1"
"149058","2022-04-14","50","true","usa","birmingham","8","8","17.7500000000000000","385.7320000000000000","6.0000000000000000","1.2000000000000000","1.2000000000000000","","0.05000000000000000000","1959.8720315788992","","","","843","1928.66","45-55","5"
"152583","2022-04-17","37","false","usa","colorado springs","8","8","18.6250000000000000","367.8300000000000000","3.0000000000000000","1.00000000000000000000","1.00000000000000000000","0.15000000000000000000","0.15000000000000000000","2265.716295635522","","","","213","367.83","35-45","1"
"153982","2022-04-19","44","true","canada","toronto","8","8","18.7500000000000000","218.9566666666666667","2.3333333333333333","1.00000000000000000000","1.00000000000000000000","0.15000000000000000000","","1343.6251935624966","","","","621","656.87","35-45","3"
"160754","2022-04-26","45","true","usa","new york","8","8","10.7500000000000000","93.6200000000000000","3.0000000000000000","1.00000000000000000000","1.00000000000000000000","","","527.63183389388","","","","214","93.62","45-55","1"
"164522","2022-04-30","47","false","usa","kansas city","8","8","11.1250000000000000","328.3200000000000000","14.0000000000000000","1.00000000000000000000","1.00000000000000000000","0.05000000000000000000","0.05000000000000000000","1807.646503324766","","","","233","328.32","45-55","1"
"167852","2022-05-03","17","false","usa","tampa","8","8","7.8750000000000000","","","","","0.10000000000000000000","0.10000000000000000000","","","","","","","Under 18","0"
"171470","2022-05-06","23","false","usa","atlanta","8","8","55.7500000000000000","3679.3566666666666667","","","1.3333333333333333","","0.10000000000000000000","17604.462972600577","","2878.25","","","11038.07","18-25","2"
"174997","2022-05-10","31","false","usa","grand rapids","8","8","31.5000000000000000","1075.4966666666666667","2.5000000000000000","1.00000000000000000000","1.3333333333333333","0.12500000000000000000","","3938.2118173381004","","","","224","3226.49","25-35","3"
"175032","2022-05-10","28","false","usa","houston","9","9","14.1111111111111111","554.6250000000000000","4.3333333333333333","2.0000000000000000","2.0000000000000000","0.10000000000000000000","0.30000000000000000000","1394.5441345457552","","","151","417","1109.25","25-35","3"
"181157","2022-05-15","52","false","usa","houston","8","8","19.1250000000000000","346.4766666666666667","3.6666666666666667","2.0000000000000000","2.0000000000000000","0.15000000000000000000","0.17500000000000000000","1213.4574843739658","","","","487","1039.43","45-55","3"
"182191","2022-05-16","18","true","usa","phoenix","8","8","18.5000000000000000","537.6700000000000000","","","2.0000000000000000","0.10000000000000000000","","1670.947440039294","","","","","537.67","18-25","1"
"187212","2022-05-21","54","true","usa","los angeles","8","8","16.0000000000000000","414.1900000000000000","3.0000000000000000","1.00000000000000000000","1.00000000000000000000","0.10000000000000000000","0.39999999999999990000","2465.5571878273126","","","","652","1242.57","45-55","3"
